
Host: cmpsrv002

Timers On : Thu Sep 26 15:15:51 2024
Timers Off: Thu Sep 26 15:17:37 2024

Wall Time:      105.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 (A|mn)                        :      5.250u      0.000s      1.456w      3 calls
DFMP2 (A|mn)C_mi                    :      2.400u      0.033s      0.699w      3 calls
DFMP2 (A|mi)C_na                    :      0.533u      0.067s      0.140w      3 calls
DFMP2 Aia Write                     :      0.183u      0.150s      0.087w      3 calls
DFMP2 Bia                           :      2.500u      0.433s      0.836w      3 calls
DFMP2 Metric                        :      1.300u      0.200s      0.457w      3 calls
DFMP2 Aia Read                      :      0.067u      0.033s      0.035w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.650u      0.033s      0.173w      3 calls
DFMP2 Bia Write                     :      0.417u      0.167s      0.162w      3 calls
DFMP2 Energy                        :      1.417u      0.067s      0.412w      3 calls
DFMP2 Bia Read                      :      0.067u      0.017s      0.035w      6 calls
SAPT: Monomer A SCF                 :     16.800u      1.383s      6.084w      1 calls
SAPT: Monomer B SCF                 :     16.450u      1.283s      5.820w      1 calls
DF Integrals                        :     77.617u     15.450s     22.984w      1 calls
Omega Integrals                     :      0.217u      1.250s      0.889w      1 calls
Amplitudes                          :    125.917u     12.233s     72.205w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.001w      1 calls
Exch10                              :      0.017u      0.000s      0.002w      1 calls
Ind20,r                             :      4.717u      0.333s      0.758w      1 calls
Exch-Ind20,r                        :      0.217u      0.000s      0.033w      1 calls
Disp20                              :      0.417u      0.067s      0.073w      1 calls
Exch-Disp20                         :      3.300u      0.133s      8.279w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.100u      0.017s      0.018w      1 calls
Exch12                              :     45.667u      3.850s      7.513w      1 calls
Ind22                               :     12.317u      3.267s      2.769w      1 calls
Disp21                              :      0.450u      0.217s      0.127w      1 calls
